RPT_TREATMENT_ID,ORGAN_ID,CLASS1,CLASS2,CLASS3,DISP_NAME,LOCAL_DISP_NAME,SINGULAR,LOCAL_SINGULAR
1,1,1,0,0,Treatment 001,Điều trị 001,Treatment 001,Điều trị 001
2,1,1,1,0,Treatment 002,Điều trị 002,Treatment 002,Điều trị 002
3,1,1,2,0,Treatment 003,Điều trị 003,Treatment 003,Điều trị 003
13,1,2,0,0,Treatment 004,Điều trị 004,Treatment 004,Điều trị 004
14,1,2,1,0,Treatment 005,Điều trị 005,Treatment 005,Điều trị 005
15,1,2,2,0,Treatment 006,Điều trị 006,Treatment 006,Điều trị 006
16,1,10,0,0,[Endoscopic treatment technique],[Kỹ thuật điều trị nội soi],[Endoscopic treatment technique],[Kỹ thuật điều trị nội soi]
17,1,10,10,0,EMRC,EMRC,EMRC,EMRC
18,1,10,20,0,EMR,EMR,EMR,EMR
19,1,10,30,0,ESD,ESD,ESD,ESD
20,1,10,40,0,EIS,EIS,EIS,EIS
21,1,10,50,0,EIS(EO),EIS(EO),EIS(EO),EIS(EO)
22,1,10,60,0,EIS(AS),EIS(AS),EIS(AS),EIS(AS)
23,1,10,70,0,EIS(GTXIII),EIS(GTXIII),EIS(GTXIII),EIS(GTXIII)
24,1,10,80,0,EVL,EVL,EVL,EVL
25,1,10,90,0,EISL(EIS+EVL),EISL(EIS+EVL),EISL(EIS+EVL),EISL(EIS+EVL)
26,1,10,100,0,2ch method,Phương pháp 2ch,2ch method,Phương pháp 2ch
27,1,10,110,0,Balloon dilation,Bóng nong,Balloon dilation,Bóng nong
28,1,10,120,0,Bougie,Bougie,Bougie,Bougie
29,1,10,130,0,Stent insertion,Luồn stent,Stent insertion,Luồn stent
30,1,10,140,0,Stent placement,Đặt Stent,Stent placement,Đặt Stent
31,1,10,150,0,Removal of foreign body,Loại bỏ dị vật,Removal of foreign body,Loại bỏ dị vật
32,1,10,160,0,Removal of Anisakis,Loại bỏ Anisakis,Removal of Anisakis,Loại bỏ Anisakis
33,1,20,0,0,\[Mechanical hemostasis],\ [Cầm máu cơ học],\[Mechanical hemostasis],\ [Cầm máu cơ học]
34,1,20,10,0,Clipping method,Phương pháp kẹp clip,Clipping method,Phương pháp kẹp clip
35,1,20,20,0,O-ring method,Phương pháp O-ring,O-ring method,Phương pháp O-ring
36,1,20,30,0,Indwelling snare method,Phương pháp cắt vòng trong,Indwelling snare method,Phương pháp cắt vòng trong
37,1,30,0,0,[Local hemostasis],[Cầm máu cục bộ],[Local hemostasis],[Cầm máu cục bộ]
38,1,30,10,0,HSE injection,Tiêm HSE,HSE injection,Tiêm HSE
39,1,30,20,0,Local ethanol injection,Tiêm ethanol tại chỗ,Local ethanol injection,Tiêm ethanol tại chỗ
40,1,30,30,0,Local aethoxysklerol injection,Tiêm aethoxysklerol tại chỗ,Local aethoxysklerol injection,Tiêm aethoxysklerol tại chỗ
41,1,30,40,0,Local Histoacryl injection,Tiêm Histoacryl tại chỗ,Local Histoacryl injection,Tiêm Histoacryl tại chỗ
42,1,30,50,0,Fibrin glue,Keo fibrin,Fibrin glue,Keo fibrin
43,1,30,60,0,Local Picibanil injection,Tiêm Picibanil tại chỗ,Local Picibanil injection,Tiêm Picibanil tại chỗ
44,1,30,70,0,Local Glyceol injection,Tiêm Glyceol tại chỗ,Local Glyceol injection,Tiêm Glyceol tại chỗ
45,1,30,80,0,Steroid injection,Tiêm steroid,Steroid injection,Tiêm steroid
46,1,40,0,0,[Coagulation hemostasis],[Cầm máu đông máu],[Coagulation hemostasis],[Cầm máu đông máu]
47,1,40,10,0,APC,APC,APC,APC
48,1,40,20,0,High frequency cauterization (coagulation),Đốt cao tần (cầm máu),High frequency cauterization (coagulation),Đốt cao tần (cầm máu)
49,1,40,30,0,High frequency coagulation (excision),Cầm máu cao tần (cắt bỏ),High frequency coagulation (excision),Cầm máu cao tần (cắt bỏ)
50,1,40,40,0,High frequency coagulation (combined),Cầm máu cao tần (kết hợp),High frequency coagulation (combined),Cầm máu cao tần (kết hợp)
51,1,40,50,0,Microwave coagulation,Cầm máu bằng vi sóng,Microwave coagulation,Cầm máu bằng vi sóng
52,1,40,60,0,Laser irradiation,Chiếu xạ laser,Laser irradiation,Chiếu xạ laser
